Open,High,Low,Close,Volume
92.3,94.8,92.25,94.74,17171200
94.45,95.31,93.81,94.55,13275000
94.63,94.88,92.73,92.95,11725700
93.43,94.79,93.25,93.49,11257100
93.48,94.06,92.52,92.55,10730500
92.51,96.16,92.5,95.82,14837200
96.4,97.29,95.87,96.69,15087600
95.61,95.66,93.37,94.3,12410700
93.62,94.0,92.36,92.52,10391700
90.81,91.56,89.48,89.92,16389500
89.53,91.26,88.71,90.51,14208800
91.19,91.67,89.63,91.32,15194500
92.57,93.96,91.15,93.37,15011600
95.95,97.56,95.65,96.32,17482600
94.07,95.07,92.14,93.37,18886500
94.13,97.89,94.07,97.19,17837400
97.83,97.89,95.37,95.9,12552800
105.4,110.74,102.78,108.88,47792400
109.3,109.39,106.82,108.53,20539300
108.87,108.94,106.14,106.91,14443400
104.81,106.14,104.37,105.59,22063000
106.83,106.98,105.78,106.26,11847900
109.71,110.47,107.79,109.25,19858600
107.48,108.45,106.72,108.15,14553200
109.29,110.47,107.3,107.35,12571200
106.35,107.88,105.77,107.63,10202500
106.58,107.72,106.26,106.71,12718900
108.09,110.06,107.64,109.79,13209200
111.83,115.03,111.5,114.86,20121600
113.05,113.99,112.21,113.66,11715600
113.63,113.96,112.78,112.91,5983600
111.77,112.44,109.69,109.79,14411800
112.09,113.24,111.42,111.53,12668900
111.49,113.92,111.09,113.67,10811300
113.49,113.53,112.1,112.92,12904400
114.08,114.83,113.34,113.95,13583700
112.84,113.79,111.96,113.52,9724300
112.74,113.94,112.48,113.63,9592100
114.72,114.84,112.18,112.75,13073900
111.76,112.5,111.36,112.02,13668400
110.78,111.79,110.25,111.36,9981600
113.02,113.09,110.01,110.19,12112400
111.11,112.61,110.48,112.07,12590200
112.05,112.78,111.64,112.39,11169400
112.94,113.12,111.38,111.46,11618000
110.97,111.66,110.16,110.91,28954800
114.72,116.43,112.78,115.08,28323600
114.93,115.05,113.27,113.32,11788200
114.36,117.84,113.96,116.49,14973200
116.51,116.94,115.09,115.98,4164900
117.19,117.96,116.23,116.74,8072600
117.54,117.62,116.32,116.44,8389200
116.88,117.22,116.33,116.76,7398000
